author_id;author_name;author_surname;book_id;book_title;fbusta_id;size
0;Фёдор Александрович;Абрамов;1;Братья и сестры;158030;247
0;Фёдор Александрович;Абрамов;2;Две зимы и три лета;158033;293
0;Фёдор Александрович;Абрамов;3;Пути-перепутья;158036;254
0;Фёдор Александрович;Абрамов;4;Дом;158032;242
1;Борис;Акунин;5;Нефритовые четки;144729;575
1;Борис;Акунин;6;Турецкий гамбит;305713;172
1;Борис;Акунин;7;Статский советник;461230;250
1;Борис;Акунин;8;Алтын-Толобас;131819;314
1;Борис;Акунин;9;Ф. М.;191882;422
2;Светлана Александровна;Алексиевич;10;У войны - не женское лицо…;70938;256
2;Светлана Александровна;Алексиевич;11;Последние свидетели (сто недетских рассказов);122399;171
2;Светлана Александровна;Алексиевич;12;Цинковые мальчики;427115;244
2;Светлана Александровна;Алексиевич;13;Чернобыльская молитва. Хроника будущего;426018;237
2;Светлана Александровна;Алексиевич;14;Время секонд хэнд;426019;398
3;Анатолий Георгиевич;Алексин;15;Безумная Евдокия;347944;30
3;Анатолий Георгиевич;Алексин;16;Мой брат играет на кларнете;1061;34
3;Анатолий Георгиевич;Алексин;17;Поздний ребенок;1068;56
3;Анатолий Георгиевич;Алексин;18;Раздел имущества;1070;35
3;Анатолий Георгиевич;Алексин;19;Здоровые и больные;122412;42
4;Пётр Маркович;Алешковский;20;Институт сновидений;141811;234
5;Юз;Алешковский;21;Кенгуру;1122;191
4;Пётр Маркович;Алешковский;22;Крепость;435044;446
5;Юз;Алешковский;23;Кыш, Двапортфеля и целая неделя;452856;129
5;Юз;Алешковский;24;Маленький тюремный роман;452850;212
5;Юз;Алешковский;25;Предпоследняя жизнь. Записки везунчика;339822;337
5;Юз;Алешковский;26;Рука;106459;354
5;Юз;Алешковский;27;Синенький скромный платочек. Скорбная повесть;452870;107
6;Леонид Николаевич;Андреев;28;Ангелочек;125257;14
7;Даниил Леонидович;Андреев;29;Железная мистерия;187978;372
6;Леонид Николаевич;Андреев;30;Иуда Искариот;288557;60
6;Леонид Николаевич;Андреев;31;Красный смех;65864;56
6;Леонид Николаевич;Андреев;32;Рассказ о семи повешенных;65888;70
7;Даниил Леонидович;Андреев;33;Роза Мира;245158;729
6;Леонид Николаевич;Андреев;34;Жизнь Василия Фивейского;70850;78
8;Виктор Петрович;Астафьев;35;Кража;131803;232
8;Виктор Петрович;Астафьев;36;Пастух и пастушка;2713;133
8;Виктор Петрович;Астафьев;37;Печальный детектив;2714;121
8;Виктор Петрович;Астафьев;38;Царь-рыба;378886;382
8;Виктор Петрович;Астафьев;39;Звездопад;132240;79
9;Аркадий Тимофеевич;Аверченко;40;Дюжина ножей в спину революции;159215;39
9;Аркадий Тимофеевич;Аверченко;41;О маленьких – для больших;169499;123
9;Аркадий Тимофеевич;Аверченко;42;Подходцев и двое других;159231;128
9;Аркадий Тимофеевич;Аверченко;43;Разумная экономия;417321;5
9;Аркадий Тимофеевич;Аверченко;44;Шутка мецената;159241;105
10;Чингиз;Айтматов;45;Белый пароход;150859;113
10;Чингиз;Айтматов;46;И дольше века длится день;396348;380
10;Чингиз;Айтматов;47;Пегий пес, бегущий краем моря;65797;81
10;Чингиз;Айтматов;48;Плаха;65796;298
10;Чингиз;Айтматов;49;Прощай, Гульсары!;121106;146
11;Исаак Эммануилович;Бабель;50;Беня Крик;194629;38
11;Исаак Эммануилович;Бабель;51;Конармия;310689;114
11;Исаак Эммануилович;Бабель;52;Одесские рассказы;166541;98
12;Павел Петрович;Бажов;53;Дальнее - близкое;143390;72
12;Павел Петрович;Бажов;54;Синюшкин колодец;373851;12
12;Павел Петрович;Бажов;55;Малахитовая шкатулка;143208;23
12;Павел Петрович;Бажов;56;Медной горы хозяйка;143109;9
12;Павел Петрович;Бажов;57;За Советскую правду;143401;41
13;Василий Иванович;Белов;58;Плотницкие рассказы;203086;80
13;Василий Иванович;Белов;59;Привычное дело;158230;256
13;Василий Иванович;Белов;60;Воспитание по доктору Споку;202510;32
13;Василий Иванович;Белов;61;Все впереди;315732;214
14;Александр Романович;Беляев;62;Человек, потерявший лицо;145500;76
14;Александр Романович;Беляев;63;Человек, потерявший лицо;145500;76
14;Александр Романович;Беляев;64;Человек-амфибия;245744;305
14;Александр Романович;Беляев;65;Продавец воздуха;245745;305
14;Александр Романович;Беляев;66;Голова профессора Доуэля;245747;289
15;Андрей;Белый;67;Том 3. Московский чудак. Москва под ударом;241406;379
15;Андрей;Белый;68;Том 4. Маски;241407;437
15;Андрей;Белый;69;Том 4. Маски;241407;437
15;Андрей;Белый;70;Серебряный голубь;93198;319
16;Александр Александрович;Бестужев-Марлинский;71;Испытание;329585;67
16;Александр Александрович;Бестужев-Марлинский;72;Наезды;235106;78
16;Александр Александрович;Бестужев-Марлинский;73;Ночь на корабле;281433;361
16;Александр Александрович;Бестужев-Марлинский;74;Страшное гаданье;225045;31
16;Александр Александрович;Бестужев-Марлинский;75;Вечер на бивуаке;329591;10
17;Андрей Георгиевич;Битов;76;Дворец без царя;290869;123
17;Андрей Георгиевич;Битов;77;Лес. Повесть;249472;80
17;Андрей Георгиевич;Битов;78;Ожидание обезьян;469526;178
17;Андрей Георгиевич;Битов;79;Преподаватель симметрии;383719;357
17;Андрей Георгиевич;Битов;80;Пушкинский Дом;246296;417
18;Александр Александрович;Блок;81;Возмездие;191842;51
19;Юрий Васильевич;Бондарев;82;Батальоны просят огня (редакция №1);465414;192
19;Юрий Васильевич;Бондарев;83;Берег;472356;408
