Автор;Страница в Википедии;страница в lib.ru;произведение ;год написания;страница в Википедии
Лажечников, Иван Иванович;https://ru.wikipedia.org/wiki/%D0%9B%D0%B0%D0%B6%D0%B5%D1%87%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2,_%D0%98%D0%B2%D0%B0%D0%BD_%D0%98%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/HIST/LAZHECHNIKOW/;Ледяной дом;1835;https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D0%B4%D1%8F%D0%BD%D0%BE%D0%B9_%D0%B4%D0%BE%D0%BC_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Последний Новик;1833;https://ru.wikipedia.org/wiki/%D0%9F%D0%BE%D1%81%D0%BB%D0%B5%D0%B4%D0%BD%D0%B8%D0%B9_%D0%9D%D0%BE%D0%B2%D0%B8%D0%BA
;;;Басурман;1838;https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D1%81%D1%83%D1%80%D0%BC%D0%B0%D0%BD_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
Бестужев-Марлинский, Александр Александрович (Александр Марлинский);https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D1%81%D1%82%D1%83%D0%B6%D0%B5%D0%B2,_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87;http://az.lib.ru/b/bestuzhewmarlins_a_a/;Страшное гаданье;1831;
;;;Вечер на бивуаке;1823;
;;;Наезды;1831;
Чехов, Антон Павлович;https://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D1%85%D0%BE%D0%B2,_%D0%90%D0%BD%D1%82%D0%BE%D0%BD_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/LITRA/CHEHOW/;Драма на охоте;1884;https://ru.wikipedia.org/wiki/%D0%94%D1%80%D0%B0%D0%BC%D0%B0_%D0%BD%D0%B0_%D0%BE%D1%85%D0%BE%D1%82%D0%B5
;;;Степь;1888;https://ru.wikipedia.org/wiki/%D0%A1%D1%82%D0%B5%D0%BF%D1%8C_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
;;;Палата №6;1892;https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D0%BB%D0%B0%D1%82%D0%B0_%E2%84%96_6
;;;В овраге;1899;https://ru.wikipedia.org/wiki/%D0%92_%D0%BE%D0%B2%D1%80%D0%B0%D0%B3%D0%B5
